epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,340.367,0.7362,3.28799,0.97535,0.00042,1,0.00186,0.00037,3.83385,11.7031,3.12861,0.0004011,0.0004011,0.0004011
39,349.826,0.55347,5.0331,0.88922,0.00042,1,0.00186,0.00037,3.71186,14.4303,3.34363,0.000381304,0.000381304,0.000381304
40,359.624,0.7484,2.84815,0.91878,0.00042,1,0.00186,0.00037,3.71186,14.4303,3.34363,0.000359924,0.000359924,0.000359924
41,369.025,0.642,6.89199,0.9451,0.00042,1,0.00064,6e-05,3.64603,12.1361,3.30773,0.00033696,0.00033696,0.00033696
42,378.491,0.7185,5.79572,0.85382,0.00042,1,0.0006,6e-05,3.62421,11.3418,3.23845,0.000312412,0.000312412,0.000312412
43,387.951,0.55471,7.27755,0.87353,0.00042,1,0.0006,6e-05,3.62421,11.3418,3.23845,0.00028628,0.00028628,0.00028628
44,397.111,0.62923,11.7834,0.87558,0.00042,1,0.00042,4e-05,3.71898,11.77,3.0071,0.000258564,0.000258564,0.000258564
45,406.645,0.63744,6.00086,0.70886,0.00042,1,0.00042,4e-05,3.71898,11.77,3.0071,0.000229264,0.000229264,0.000229264
46,416.314,0.63941,5.98497,0.80046,0.00042,1,0.00042,4e-05,3.74957,18.4063,2.82032,0.00019838,0.00019838,0.00019838
47,426.361,0.57223,5.17457,0.8174,0.00042,1,0.00042,4e-05,3.74957,18.4063,2.82032,0.000165912,0.000165912,0.000165912
48,435.411,0.68755,8.08705,0.93592,0.00042,1,0.00159,0.00016,3.6578,20.4389,2.61442,0.00013186,0.00013186,0.00013186
49,444.958,0.57844,9.75597,0.82142,0.00042,1,0.00159,0.00016,3.6578,20.4389,2.61442,9.6224e-05,9.6224e-05,9.6224e-05
50,454.774,0.84326,6.31072,0.8819,0.00042,1,0.00156,0.00016,3.61311,18.8358,2.4946,5.9004e-05,5.9004e-05,5.9004e-05
